model,n_obs,residual_mean,residual_std,residual_median,residual_q05,residual_q95,mae,rmse
knn_gridsearch,4240,0.3864812730588649,10.651286791150891,0.06873378185191847,-15.367143363488557,16.29446879516596,5.67474216829986,10.657040913286052
hist_gradient_boosting,4240,1.6588818558462672,10.61751722780848,0.6027542999431499,-14.150468544111677,17.91578535700966,6.291584699195245,10.745090666716404
ridge_cv,4240,3.9721972700508585,17.865525470284638,1.5178510526642746,-24.637176252156856,35.79065359858503,12.475219416389017,18.2997287927218
linear_regression,4240,3.9718801906110457,17.86641359619893,1.5211156150681537,-24.668878563545167,35.85077368770358,12.474248086746218,18.300526821926464
lasso_cv,4240,4.0214339205577065,17.892317398828713,1.5333242684163215,-24.621887478131768,35.853185974831334,12.520342381378772,18.336614985731146
dummy_regressor,4240,17.084717229175755,34.31361685566394,2.5313217103078287,-16.36867828969217,77.53132171030782,27.668922813725334,38.32798155535218
