model,fit_time_seconds,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2,model_metadata
knn_gridsearch,3.477259523991961,59.572457519541196,7.71831960465108,3.922137132604235,0.9492671330150335,113.5725210274528,10.657040913286052,5.674742168299859,0.9035187967900423,"{""best_params"": {""regressor__n_neighbors"": 3}, ""best_score"": -0.16929061346616953}"
hist_gradient_boosting,1.1891505050007254,79.85932568066946,8.93640451639637,5.281191938735617,0.9319905084335737,115.45697343595599,10.745090666716404,6.291584699195245,0.9019179321256017,{}
ridge_cv,0.4158383540052455,323.2166630087682,17.978227471271136,12.296067214465873,0.7247434694737958,334.88007388717125,18.2997287927218,12.475219416389017,0.7155154066548906,"{""best_score"": 0.76219037803356, ""selected_alpha"": 0.1}"
linear_regression,0.03863524799817242,323.2661224615526,17.97960295617099,12.296016082085554,0.7247013490049795,334.90928196005,18.300526821926468,12.474248086746218,0.7154905940506682,{}
lasso_cv,21.815489507003804,324.55899493611054,18.01552094545452,12.344179917451758,0.7236003179243202,336.2314491349401,18.336614985731146,12.52034238137877,0.7143673973590383,"{""selected_alpha"": 0.0001}"
dummy_regressor,0.0006867629999760538,1463.6166770155062,38.257243458141446,27.626006359843096,-0.24643960118062092,1469.034170107417,38.32798155535218,27.668922813725334,-0.24796194542731986,{}
