model,mse,rmse,mae,r2
knn_gridsearch,113.5725210274528,10.657040913286052,5.674742168299859,0.9035187967900423
hist_gradient_boosting,115.45697343595599,10.745090666716404,6.291584699195245,0.9019179321256017
ridge_cv,334.88007388717125,18.2997287927218,12.475219416389017,0.7155154066548906
linear_regression,334.90928196004995,18.300526821926464,12.474248086746218,0.7154905940506683
lasso_cv,336.2314491349401,18.336614985731146,12.520342381378772,0.7143673973590383
dummy_regressor,1469.034170107417,38.32798155535218,27.668922813725334,-0.24796194542731986
