model,target_range,n_obs,mean_true_temp,mean_prediction,residual_mean,mae,rmse
knn_gridsearch,<10 K,1518,3.9311139657444003,4.83173038982109,-0.9006164240766904,1.7671653924862838,4.185803790878261
knn_gridsearch,10-30 K,953,18.487907660020984,20.350159942533196,-1.862252282512211,5.409526382991676,10.05954742498925
knn_gridsearch,30-77 K,971,50.566395468589086,50.50102583190499,0.06536963668409139,9.573781272246537,13.438247859794862
knn_gridsearch,77-100 K,636,87.00817610062893,81.44263791171008,5.5655381889188495,8.094993647812501,13.838348560765516
knn_gridsearch,>=100 K,162,114.09148148148148,106.8236632754352,7.267818206046294,10.978478453370476,19.463308514076026
